<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX,W,20161003,00:00,127.2700000,128.9800000,120.2000000,121.6700000,34072810
MOEX,W,20161010,00:00,121.8400000,125.2200000,121.2700000,124.2700000,26110800
MOEX,W,20161017,00:00,124.4400000,124.4400000,115.0000000,116.0000000,25655100
MOEX,W,20161024,00:00,116.3900000,119.7500000,111.7500000,117.3900000,33619960
MOEX,W,20161031,00:00,117.4000000,117.8000000,113.7500000,114.9100000,22512790
MOEX,W,20161107,00:00,115.1800000,118.4900000,108.2400000,112.2000000,62297240
MOEX,W,20161114,00:00,112.7000000,113.7000000,108.5200000,112.6200000,67105590
MOEX,W,20161121,00:00,113.2100000,119.6700000,112.1700000,117.5000000,43548490
MOEX,W,20161128,00:00,117.4200000,121.6300000,113.7500000,116.7000000,42279610
MOEX,W,20161205,00:00,116.4600000,122.2000000,116.2700000,120.5500000,35025080
MOEX,W,20161212,00:00,122.4500000,129.2700000,120.7200000,122.7300000,56840090
MOEX,W,20161219,00:00,123.2100000,125.5000000,116.5100000,116.6700000,28994620
MOEX,W,20161226,00:00,116.9900000,125.5900000,116.1600000,125.5900000,18473100
MOEX,W,20170102,00:00,125.4200000,130.8400000,125.1200000,125.5700000,27512080
MOEX,W,20170109,00:00,126.3600000,137.6000000,125.0200000,134.6900000,50571850
MOEX,W,20170116,00:00,134.6900000,135.3700000,129.1100000,130.7500000,30742560
MOEX,W,20170123,00:00,130.7000000,139.8000000,128.5500000,138.5000000,28433530
MOEX,W,20170130,00:00,138.5600000,138.8800000,131.2400000,135.7900000,26038050
MOEX,W,20170206,00:00,135.7900000,136.7000000,129.0000000,130.7900000,20958650
MOEX,W,20170213,00:00,130.5800000,132.1200000,125.2000000,126.5000000,34529050
MOEX,W,20170220,00:00,126.7300000,127.3000000,122.5000000,126.2000000,26660200
MOEX,W,20170227,00:00,126.3800000,130.6000000,117.9100000,118.2600000,50484180
MOEX,W,20170306,00:00,118.3000000,119.0000000,111.6700000,113.0000000,60741660
MOEX,W,20170313,00:00,113.3400000,116.3900000,110.1000000,114.4500000,52349790
MOEX,W,20170320,00:00,114.9800000,119.3300000,111.2200000,114.3200000,64740320
MOEX,W,20170327,00:00,113.1100000,115.7800000,111.4000000,111.5100000,31868900
MOEX,W,20170403,00:00,112.2000000,116.9000000,111.6200000,111.7500000,41235250
MOEX,W,20170410,00:00,111.6600000,111.6600000,103.7500000,104.3500000,50860520
MOEX,W,20170417,00:00,104.5000000,111.4000000,104.3600000,111.4000000,47857320
MOEX,W,20170424,00:00,112.0600000,116.0000000,110.7300000,115.0500000,47514260
MOEX,W,20170501,00:00,115.1100000,119.0300000,111.6000000,116.3000000,36743370
